Hindi,English
टॉम अंदर नहीं जा सकता।,tom can't go in
टॉम नहीं कर सकता।,tom can't do it
यह वाला अच्छा है।,this one's nice
वह वाला अच्छा है।,that one's good
टॉम बीमार नहीं था।,tom wasn't sick
टॉम को प्यास लगी थी।,tom was thirsty
टॉम जवान नहीं है।,tom isn't young
टॉम डरपोक नहीं है।,tom isn't timid
टॉम क्रूर नहीं है।,tom isn't cruel
टॉम निर्दयी नहीं है।,tom isn't cruel
कौन जीता बताओ।,tell me who won
कौन जीता वह बताईये।,tell me who won
मुझे एक कहानी सुनाओ।,tell me a story
मुझे एक कहानी सुनाइए।,tell me a story
टॉम को मुझे बताने दो।,let me tell tom
मुझे टॉम को बताने दीजिए।,let me tell tom
आओ मेरे पास बैठो।,come sit by me
आइये मेरे पास बैठिए।,come sit by me
क्या हम यहाँ बैठ सकते हैं,can we sit here
मेरे लिये एक डोनट बचा कर रखना।,save me a donut
टॉम से पूछते हैं।,let's go ask tom
टॉम को एक नौकरी चाहिए थी।,tom wanted a job
टॉम भागना चाहता है।,tom wants to run
टॉम दौड़ना चाहता है।,tom wants to run
हमें बस तुम चाहिए।,we only want you
हमें बस आप चाहिए।,we only want you
वह सुंदर है।,that's beautiful
सब कुछ छोड़ दो।,leave everything
सब कुछ छोड़ दीजिए।,leave everything
शांति है।,there is silence
तुम अभी ठीक हो जाओगे।,you'll be ok now
अभी आप ठीक हो जाओगे।,you'll be ok now
तुम अभी ठीक हो जाओगी।,you'll be ok now
मैं यहाँ अंदर हूँ टॉम।,i'm in here tom
मैं यहाँ टॉम के लिये आया हूँ।,i'm here for tom
तुम भाग सकते थे।,you could've run
आप भाग सकते थे।,you could've run
टॉम उतना भी बुरा नहीं है।,tom isn't so bad
टॉम बिस्तर पर नहीं है।,tom isn't in bed
तुम्हारे लिये नहीं है।,it's not for you
आपके लिये नहीं है।,it's not for you
मेरा फ़ैसला है।,it's my decision
मेरा निर्णय है।,it's my decision
बुरी आदत है।,it's a bad habit
मैं उतना भी थका हुआ नहीं हूँ।,i'm not so tired
मैं उतनी भी थकी हुई नहीं हूँ।,i'm not so tired
हमारे पास इतना ही है।,it's all we have
सभी शांत है।,everyone's quiet
वही मेरा राज़ है।,that's my secret
वह मेरा राज़ है।,that's my secret
मुझे उसका नाम बताओ।,tell me his name
मुझे उसका नाम बताइये।,tell me his name
तुम यहाँ बैठ सकते हो।,you can sit here
आप यहाँ बैठ सकते हैं।,you can sit here
क्या तुम टॉम को बचा सकते हो,can you save tom
क्या आप टॉम को बचा सकते हैं,can you save tom
फिर से शुरुआत करते हैं।,let's begin again
कोई बात कर रहा है।,someone's talking
किसी ने जवाब दिया।,somebody answered
कुछ नहीं होगा।,nothing'll happen
तुम आक्रामक हो।,you're aggressive
आप आक्रामक हैं।,you're aggressive
तुम आकर्षक हो।,you're attractive
आप आकर्षक हैं।,you're attractive
मैं जानता था तुम छोड़ दोगे।,i knew you'd quit
मैं जानती थी तुम छोड़ दोगे।,i knew you'd quit
मैं जानता था आप छोड़ देंगे।,i knew you'd quit
मैं जानती थी आप छोड़ देंगे।,i knew you'd quit
टॉम हम कहाँ है,tom where are we
हम असफल नहीं हुए हैं।,we haven't failed
मैं यहाँ सुरक्षित नहीं हूँ।,i'm not safe here
मैं बस एक दोस्त हूँ।,i'm just a friend
मैं केवल एक मित्र हूँ।,i'm just a friend
मैं रहने वाला हूँ।,i'm going to stay
मैं रहने वाली हूँ।,i'm going to stay
मैं बिलकुल वहीं करूँगा।,i'll do just that
मैं बिलकुल वहीं करूँगी।,i'll do just that
तुम जा सकते थे।,you could've gone
आप जा सकते थें।,you could've gone
तुम मर सकते थे।,you could've died
आप मर सकते थें।,you could've died
यहाँ क्यों नहीं है,why isn't it here
मेरा ड्राइवर कहाँ है,where's my driver
तुम्हें क्या मिला है,what've you found
आपको क्या मिला है,what've you found
टॉम यहाँ ऊपर नहीं है।,tom isn't up here
टॉम जा सकता था।,tom could've gone
मेरी जेब में है।,it's in my pocket
तय हुआ है।,it's been decided
मुझे टॉम के मदद की ज़रूरत है।,i need tom's help
वे सभी एक जैसे हैं।,they're all alike
वही है।,it's the same one
तुम्हारी मदद कौन कर रहा है,who's helping you
आपकी मदद कौन कर रहा है,who's helping you
हम तुम्हारी मदद नहीं कर सकते।,we can't help you
हम आपकी मदद नहीं कर सकते।,we can't help you
यह वाला मेरे लिये है।,this one's for me
टॉम से हम बात करेंगे।,we'll talk to tom
हम टॉम से बात कर लेेंगे।,we'll talk to tom
मैं जानता था तुम रहोगे।,i knew you'd stay
मैं जानती थी तुम रहोगे।,i knew you'd stay
टॉम को बताना मैं बीमार हूँ।,tell tom i'm sick
टॉम बीमार नहीं हो सकता।,tom can't be sick
मुझे तुम्हारी योजना बताओ।,tell me your plan
मुझे तुम्हारा प्लैन बताओ।,tell me your plan
तुम मुझे नहीं बचा सकते।,you can't save me
आप मुझे नहीं बचा सकतें।,you can't save me
बस हाँ कह देते हैं।,let's just say yes
चलो घर चलते हैं टॉम।,let's go home tom
घर चलते हैं टॉम।,let's go home tom
चलो तुम्हें घर पहुँचाते हैं।,let's get you home
टॉम को हमारी मदद चाहिए।,tom wants our help
यह वाला किसे चाहिए,who wants this one
कौन लड़ना चाहता है,who wants to fight
तुम्हें क्यों चाहिए,why do you want it
आपको क्यों चाहिए,why do you want it
मैं यहाँ खुश नहीं हूँ।,i'm not happy here
वे सब खुश हैं।,they are all happy
वे कितने खुश लगते हैं।,they seem so happy
मैरी आकर्षक है।,mary is attractive
मैरी आकर्षक हैं।,mary is attractive
तुम्हारे पास एक घंटा है।,you've got an hour
आपके पास एक घंटा है।,you've got an hour
तुम अब शादीशुदा हो।,you're married now
अभी तुम विवाहित हो।,you're married now
अभी आप शादीशुदा हैं।,you're married now
टॉम यहाँ क्यों नहीं है,why isn't tom here
हम अच्छे दोस्त हैं।,we're good friends
हम सब टॉम जैसे हैं।,we're all like tom
हम सब टॉम की तरह हैं।,we're all like tom
हमें रुकना पड़ेगा।,we'll have to wait
हमें रुके रहना पड़ेगा।,we'll have to wait
टॉम का नाक लाल था।,tom's nose was red
टॉम का कुत्ता खड़ा हुआ।,tom's dog stood up
मैं तुम्हारा कोट लाता हूँ।,i'll get your coat
मैं तुम्हारा कोट लाती हूँ।,i'll get your coat
मैं आपका कोट लाता हूँ।,i'll get your coat
मैं आपका कोट लाती हूँ।,i'll get your coat
अभी टॉम के साथ कौन है,who's with tom now
वैसे टॉम है कहाँ,where's tom anyway
फ़ाईल में क्या है,what's in the file
हम अभी तक मरें नहीं हैं।,we're not dead yet
हमें टॉम के मदद की ज़रूरत है।,we need tom's help
टॉम मांस नहीं खाएगा।,tom won't eat meat
टॉम दोषी नहीं है।,tom isn't to blame
टॉम अभी तक सुरक्षित नहीं है।,tom isn't safe yet
टॉम वहाँ अंदर नहीं है।,tom isn't in there
टॉम खड़ा नहीं हो सकता।,tom can't stand up
वक़्त हमारे साथ है।,time's on our side
तुम्हारे ट्रक में है।,it's in your truck
आपके ट्रक में है।,it's in your truck
तुम्हारे हाथों में है।,it's in your hands
आपके हाथों में है।,it's in your hands
क्या यह टॉम का कमरा है,is this tom's room
कितनी देर हुई है,how long's it been
टॉम को बच्चों से नफ़रत है।,tom hates children
तुम्हें उतना ही मिलेगा।,that's all you get
इस सब का क्या मतलब है,what's it all mean
उतना भी छोटा नहीं है।,it's not so little
वहाँ अभी नहीं है।,it's not there now
दूसरा वाला है।,it's the other one
हम मदद करने आए हैं।,we've come to help
वह वाला आसान है।,that's an easy one
टॉम का चेहरा लाल हो गया।,tom's face got red
तुम्हें टॉम पसंद नहीं आएगा।,you won't like tom
आपको टॉम पसंद नहीं आएगा।,you won't like tom
टॉम क्यों नहीं बोल सकता,why can't tom talk
बड़ी कंपनी है।,it's a big company
क्या मैं टॉम से बात कर सकता हूँ,can i speak to tom
क्या मैं टॉम से बात कर सकती हूँ,can i speak to tom
मुझे लगता है हम खो गये हैं।,i think we're lost
मैं टॉम को क्या बताऊँ,what do i tell tom
मुझे बताओ में कहाँ हूँ।,tell me where i am
मुझे बताइये में कहाँ हूँ।,tell me where i am
टॉम मेरी बगल में बैठ गया।,tom sat next to me
टॉम मेरी बगल में बैठा।,tom sat next to me
मैं जैसे कहूँ वैसे करो।,do like i tell you
मैं जैसे कहूँ वैसे कीजिए।,do like i tell you
वे दोनों बैठ गए।,they both sat down
बस बैठ जाओ टॉम।,just sit down tom
सभी बैठ गए।,everybody sat down
बस बैठो और आराम करो।,just sit and relax
बस बैठिए और आराम कीजिए।,just sit and relax
क्या मैं टॉम के साथ बैठ सकता हूँ,can i sit with tom
क्या मैं टॉम के साथ बैठ सकती हूँ,can i sit with tom
हमने तुम्हारी जान बचाई।,we saved your life
हमने आपकी जान बचाई।,we saved your life
२३० बजे शुरू करते हैं।,let's start at 
चलो अभी खत्म कर देते हैं।,let's finish it now
चलो यहीं खा लेते हैं।,let's just eat here
आज रात करते हैं।,let's do it tonight
ठीक से करते हैं।,let's do this right
टॉम के लिये करते हैं।,let's do it for tom
टॉम कितना खुश लग रहा था।,tom seemed so happy
टॉम कितना खुश लगता था।,tom seemed so happy
वह कितना सुंदर है।,that's so beautiful
वह तो बच्चों का खेल है।,that's child's play
दोष तुम्हारा नहीं है।,you're not to blame
दोष आपका नहीं है।,you're not to blame
टॉम के पास दो विकल्प थे।,tom had two choices
तुमने टॉम को हरा दिया है।,you've defeated tom
आपने टॉम को हरा दिया है।,you've defeated tom
तुमने टॉम को हराया है।,you've defeated tom
आपने टॉम को हराया है।,you've defeated tom
तुम हमारे कैदी हो।,you're our prisoner
तुम सब एक जैसे हो।,you're all the same
यह सच है है ना,it's true isn't it
अच्छा है है ना,it's nice isn't it
ठंडा है है ना,it's cool isn't it
मैं अपना इच्छापत्र लिख रहा हूँ।,i'm writing my will
मैं अपना इच्छापत्र लिख रही हूँ।,i'm writing my will
मैं मेरा वक़्त बरबाद कर रहा हूँ।,i'm wasting my time
मुझे टॉम पर कितना गर्व है।,i'm so proud of tom
मैं यहीं हूँ टॉम।,i'm right here tom
मैं घर नहीं आ रहा हूँ।,i'm not coming home
मैं घर नहीं आ रही हूँ।,i'm not coming home
मैं उसी रास्ते जा रहा हूँ।,i'm headed that way
मैं उसी रास्ते जा रही हूँ।,i'm headed that way
मैं इस वक़्त खुश हूँ।,i'm happy right now
मैं पूरी तरह से बहरा हूँ।,i'm completely deaf
मैं पूरी तरह से बहरी हूँ।,i'm completely deaf
मैं दरवाज़े पर नज़र रखता हूँ।,i'll watch the door
मैं तुम्हें बाद में बताता हूँ।,i'll tell you later
मैं तुम्हें बाद में बताती हूँ।,i'll tell you later
मैं तुम्हें बाद में बताऊंगी।,i'll tell you later
मैं तुम्हें बाद में बताऊंगा।,i'll tell you later
मैं तुम्हें बाद में ढूंढ लूंगा।,i'll find you later
मैं तुम्हें बाद में ढूंढ लूंगी।,i'll find you later
मैं आपको बाद में ढूंढ लूंगा।,i'll find you later
मैं आपको बाद में ढूंढ लूंगी।,i'll find you later
अब क्या किया है टॉम ने,what's tom done now
जो हमारा है वह हमारा है।,what's ours is ours
तुम्हारे हाथ में क्या है,what's in your hand
आपके हाथ में क्या है,what's in your hand
ट्रक में क्या है,what's in the truck
हम बस एक बार मिले हैं।,we've met only once
हम केवल एक बार मिले हैं।,we've met only once
टॉम अभी कोमा में है।,tom's now in a coma
टॉम कहता है वह मर रहा है।,tom says he's dying
टॉम ने कहाँ तुम्हें पता होगा।,tom said you'd know
टॉम ने कहाँ तुम आओगे।,tom said you'd come
टॉम ने कहाँ तुम आओगी।,tom said you'd come
टॉम जानता है मैं सही हूँ।,tom knows i'm right
टॉम तो यहाँ है भी नहीं।,tom isn't even here
टॉम मैरी की मदद नहीं कर सकता।,tom can't help mary
टॉम को वे नहीं मिल रहें।,tom can't find them
यह तुम्हारा काम नहीं है।,this isn't your job
यह आपका काम नहीं है।,this isn't your job
क्या हाल है टॉम,how's it going tom
कैसा चल रहा है टॉम,how's it going tom
तुम डाक्टर हो ना,aren't you a doctor
आप डाक्टर हो ना,aren't you a doctor
फ़ैसला लेने का वक़्त आ गया है।,it's time to decide
निर्णय लेने का समय आ गया है।,it's time to decide
तुमने देखा नहीं,didn't you see that
टॉम वैसे क्यों है,why's tom like that
अभी नहीं हो सकता।,it can't happen now
टॉम ने हमें क्या दिया है,what's tom given us
तुम मुझे क्या दोगे,what'll you give me
आप मुझे क्या दोगे,what'll you give me
हम हार नहीं मान रहें।,we're not giving up
मैं टॉम का राज़ जानता हूँ।,i know tom's secret
टॉम के होंठ नीले हैं।,tom's lips are blue
मज़ा आया होगा।,it must've been fun
टॉम को बढ़ावा मत दो।,don't encourage tom
हमने टॉम से बात की है।,we've talked to tom
हम बात करने वाले हैं।,we're going to talk
टॉम यहाँ नहीं रह सकता।,tom can't stay here
हम टॉम के साथ रहेंगे।,we'll stay with tom
हम जानते हैं तुम बीमार हो।,we know you're sick
हम जानते हैं आप बीमार हैं।,we know you're sick
तुम मेरे साथ रहोगे।,you'll stay with me
तुम मेरे साथ रहोगी।,you'll stay with me
हम टॉम को क्या बताएं,what do we tell tom
मैंने तुम्हें क्या बताया,what did i tell you
मैं टॉम को क्या बता सकती हूँ,what can i tell tom
मैं टॉम को क्या बता सकता हूँ,what can i tell tom
हमें टॉम को बताना चाहिए।,we have to tell tom
टॉम को बताना हम यहाँ हैं।,tell tom we're here
मैं किसी को नहीं बता सकता।,i can't tell anyone
मैं किसी को नहीं बता सकती।,i can't tell anyone
तुम वहाँ नहीं बैठ सकते।,you can't sit there
तुम वहाँ नहीं बैठ सकती।,you can't sit there
क्या मैं वहाँ बैठ सकता हूँ,can i sit there
मैं उतना बेवकूफ़ नहीं हूँ।,i'm not that stupid
मैं छोड़ना नहीं चाहता।,i don't want to quit
मैं छोड़ना नहीं चाहती।,i don't want to quit
अभी तुम सैनिक हो।,you're a soldier now
अभी आप सैनिक हैं।,you're a soldier now
क्या देख रहे हो,what're you watching
क्या देख रही हो,what're you watching
टॉम मेरा भी दोस्त है।,tom's my friend too
टॉम को आश्चर्य नहीं हुआ था।,tom wasn't surprised
वे मेरे नियम नहीं हैं।,they're not my rules
वे मेरे दफ्तर में हैं।,they're in my office
मैं अभी यहाँ काम कर रहा हूँ।,i'm working here now
मैं अभी यहाँ काम कर रही हूँ।,i'm working here now
मुझे तुम सब पर गर्व है।,i'm proud of you all
मुझे आप सब पर गर्व है।,i'm proud of you all
मैं तुम्हारा भाई नहीं हूँ।,i'm not your brother
मैं आपका भाई नहीं हूँ।,i'm not your brother
मैं तुम्हारी तरह बिलकुल भी नहीं हूँ।,i'm nothing like you
मैं तुम्हें नहीं रोक रहा।,i'm not stopping you
मैं तुम्हें नहीं रोक रही।,i'm not stopping you
मैं मरने के लिये तैयार नहीं हूँ।,i'm not ready to die
मैं वायु सेना में हूँ।,i'm in the air force
मैं जिम जा रहा हूँ।,i'm going to the gym
मैं जिम जा रही हूँ।,i'm going to the gym
मैं मेरे कमरे में जा रहा हूँ।,i'm going to my room
मैं मेरे कमरे में जा रही हूँ।,i'm going to my room
मैं अभी सोने जा रहा हूँ।,i'm going to bed now
मैं अभी सोने जा रही हूँ।,i'm going to bed now
मुझे देर होने वाली है।,i'm going to be late
मैं टॉम को दे रही हूँ।,i'm giving it to tom
मैं टॉम को दे रहा हूँ।,i'm giving it to tom
मैं घर आ रहा हूँ टॉम।,i'm coming home tom
मैं घर आ रही हूँ टॉम।,i'm coming home tom
टॉम वहाँ क्यों नहीं था,why wasn't tom there
वे यहाँ क्यों नहीं हैं,why aren't they here
तुम वहाँ क्यों नहीं हो,why aren't you there
आप वहाँ क्यों नहीं हैं,why aren't you there
टोकरी में क्या है,what's in the basket
तुम क्या गिन रहे हो,what're you counting
तुम क्या गिन रही हो,what're you counting
आप क्या गिन रहे हैं,what're you counting
टॉम को लगता है मैं सही हूँ।,tom thinks i'm right
टॉम कहता है उसे भूक लगी है।,tom says he's hungry
टॉम जानता है हम यहाँ हैं।,tom knows we're here
टॉम उतना भी पागल नहीं है।,tom isn't that crazy
यह टॉम की पाठशाला है।,this is tom's school
यह टॉम की स्कूल है।,this is tom's school
टॉम की गलती नहीं थी।,it isn't tom's fault
वह टॉम की टोपी है ना,isn't that tom's hat
तुम्हारी बीवी कैसी है टॉम,how's your wife tom
ऑडिशन कैसा रहा,how was the audition
मैं टॉम को क्या बताउँगा,what will i tell tom
मैं टॉम को क्या बताउँगी,what will i tell tom
उसने तुम्हें क्या बताया,what did he tell you
उसने आपको क्या बताया,what did he tell you
आप हमें क्या बता सकते हैं,what can you tell us
तुम हमें क्या बता सकते हो,what can you tell us
आप मुझे क्या बता सकते हैं,what can you tell me
तुम मुझे क्या बता सकते हो,what can you tell me
तुम मुझे क्या बता सकती हो,what can you tell me
तुम हमें क्या बता सकती हो,what can you tell us
टॉम ने मेरी को झूठ बोलने कहाँ।,tom told mary to lie
हमें बताओ टॉम कहाँ है।,tell us where tom is
हमें बताइए टॉम कहाँ है।,tell us where tom is
उन्हें बताओ हम कौन है।,tell them who we are
तुम्हारा पता बताओ।,tell me your address
आपका पता बताइए।,tell me your address
यह किसने किया मुझे बताओ।,tell me who did this
मुझे बताइए यह किसने किया।,tell me who did this
यहाँ कौन बैठा था,who was sitting here
तुम अभी बैठ सकते हो।,you can sit down now
तुम अभी बैठ सकती हो।,you can sit down now
आप अभी बैठ सकते हैं।,you can sit down now
इससे शुरुआत करते हैं।,let's start with this
उससे शुरुआत करते हैं।,let's start with that
नया खेल खेलते हैं।,let's play a new game
टॉम तुम्हारी मदद क्यों नहीं करता,why doesn't tom help you
टॉम आपकी मदद क्यों नहीं करता,why doesn't tom help you
टॉम की आँखें आज लाल हैं।,tom's eyes are red today
टॉम ने टोपी नहीं पहनी थी।,tom wasn't wearing a hat
हम बस बात करने वाले हैं।,we're just going to talk
टॉम अभी हम से बात नहीं कर सकता।,tom can't talk to us yet
टॉम इस वक़्त बात नहीं कर सकता।,tom can't talk right now
टॉम ने मैरी को क्यों नहीं बताया,why didn't tom tell mary
तुम मुझे क्यों नहीं बता सके,why couldn't you tell me
तुम मुझे क्यों नहीं बता सकी,why couldn't you tell me
आप मुझे क्यों नहीं बता सकें,why couldn't you tell me
मैं तुम से उतना प्यार नहीं करता।,i don't love you that much
मैं तुम से उतना प्यार नहीं करती।,i don't love you that much
मैं आप से उतना प्यार नहीं करता।,i don't love you that much
मैं आप से उतना प्यार नहीं करती।,i don't love you that much
सवाल हम पूछ रहे हैं।,we're asking the questions
टॉम तुम्हारी जान खतरे में हे।,tom your life's in danger
टॉम तुम्हें मेरी मदद करनी ही होगी।,tom you've got to help me
टॉम ने हमें बाहर फेंक दिया होता।,tom would've thrown us out
टॉम मेरे साथ वैसा नहीं करेगा।,tom wouldn't do that to me
अगर टॉम मर गया तो हम क्या करेंगे,if tom dies what'll we do
मैं सच कह रहा हूँ टॉम।,i'm telling the truth tom
मैं सच कह रही हूँ टॉम।,i'm telling the truth tom
मैं टॉम के घर रह रहा हूँ।,i'm staying at tom's house
मैं टॉम के घर रह रही हूँ।,i'm staying at tom's house
मैं यहाँ मेरी गाड़ी में बैठा हूँ।,i'm sitting here in my car
मैं यहाँ मेरी गाड़ी में बैठी हूँ।,i'm sitting here in my car
मैं वह तुम पर छोड़ रहा हूँ।,i'm leaving that up to you
मैं वह तुम पर छोड़ रही हूँ।,i'm leaving that up to you
मैं टॉम के साथ काम करने वाला हूँ।,i'm going to work with tom
मैं टॉम के साथ काम करने वाली हूँ।,i'm going to work with tom
मैं अगले हफ़्ते तीस साल का हो जाऊँगा।,i'll turn thirty next week
मैं अगले हफ़्ते तीस साल की हो जाऊँगी।,i'll turn thirty next week
मैं तुम्हें बहुत सारी चीज़ें सिखाऊंगा।,i'll teach you many things
मैं तुम्हें बहुत सारी चीज़ें सिखाऊंगी।,i'll teach you many things
मैं आपको बहुत सारी चीज़ें सिखाऊंगा।,i'll teach you many things
मैं आपको बहुत सारी चीज़ें सिखाऊंगी।,i'll teach you many things
टॉम मेरी के बगल में बैठना चाहता था।,tom wanted to sit next to mary
टॉम और मैरी एक साथ नीचे बैठ गएं।,tom and mary sat down together
उन्होंने सभी कैदीयों को आज़ाद कर दिया है।,they released all the prisoners
मैंने वह दस्तावेज पहले से ही पढ़ लिया है।,i've already read that document
टॉम किसी को उसे छूने नहीं देता।,tom doesn't let anyone touch him
मुझे लगा था टॉम अलग होगा।,i thought tom would be different
मुझे लगा था टॉम को मैरी पसंद नहीं आएगी।,i thought tom wouldn't like mary
मैं तुम से टॉम के बारे में बात करना चाहता हूँ।,i want to speak to you about tom
मैं तुम से टॉम के बारे में बात करना चाहती हूँ।,i want to speak to you about tom
मैं आप से टॉम के बारे में बात करना चाहता हूँ।,i want to speak to you about tom
मैं आप से टॉम के बारे में बात करना चाहती हूँ।,i want to speak to you about tom
मुझे अकेले रहने की आदत पड़ गयी है।,i've gotten used to living alone
तुम ने मुझे पहचाना नहीं है ना,you didn't recognize me did you
मैंने एक भी सवाल का जवाब नहीं दिया।,i didn't answer a single question
टॉम और मैरी एक साथ बैठे हैं।,tom and mary are sitting together
हम बंगाली नहीं हैं।,we're not bengali
इंडिया को हिन्दी में भारत कहते है।,india is called bharat in hindi
हिन्दी फ़िल्म है।,it's a hindi movie
क्या इज़राइल ईरान पर हमला करेगा,will israel attack iran
क्या ईरान इज़राइल पर हमला करेगा,will iran attack israel
तेहरान ईरान में है।,tehran is in iran
मैं ईरान गया।,i went to iran
मैं ईरान गयी।,i went to iran
ईरान में कौन है,who is in iran
तुम ईरान के हो।,you're from iran
आप ईरान के हैं।,you're from iran
ईरान दुनिया का अठारहवाँ सबसे बड़ा देश है।,iran is the eighteenth largest country in the world
फारस की खाड़ी ईरान पर्शिया और अरबी प्रायद्वीप के बीच स्थित है।,the persian gulf is located between iran persia and the arabian peninsula
तेहरान ईरान का सबसे बड़ा शहर है।,tehran is the biggest town of iran
पाकिस्तान मुस्लिम देश है।,pakistan is a muslim country
क्या तुम बांग्लादेश में हो,are you in bangladesh
क्या आप बांग्लादेश में हैं,are you in bangladesh
बांग्लादेश १९७१ में स्वतंत्र हुआ।,bangladesh became independent in 
बांग्लादेश एक एशियाई देश है।,bangladesh is an asian country
हिंदू धर्म भारत का मुख्य धर्म है।,hinduism is the main religion in india
हम जापानी बोलते हैं।,we speak japanese
मैं जापानी हूँ।,i am japanese
जापानी एशियाई हैं।,japanese are asians
तुम जापानी दिखते हो।,you look japanese
तुम जापानी दिखती हो।,you look japanese
आप जापानी दिखते हैं।,you look japanese
वह जापानी है।,he is japanese
जिम को जापानी पढ़ने आती है।,jim can read japanese
इस देश में कोई जापानी नहीं थे।,there were no japanese in this country
जापानी राष्ट्रीय शक्ती अभी भी विकसित हो रही है।,the japanese national power is still developing
यह मेरा जापानी दोस्त नहीं है।,this is not my japanese friend
यह मेरा जापानी दोस्त है।,this is my japanese friend
यह मेरी जापानी सहेली है।,this is my japanese friend
अगर तुम ने मेरी अंग्रेज़ी सीखने में मदद की तो में तुम्हारी जापानी सीखने में मदद करूँगा।,if you help me learn english i'll help you learn japanese
अगर तुम ने मेरी अंग्रेज़ी सीखने में मदद की तो में तुम्हारी जापानी सीखने में मदद करूँगी।,if you help me learn english i'll help you learn japanese
माइक और उसकी बहन को फ़्रांसीसी बोलने आती हैं मगर उन्हें जापानी नहीं आती।,mike and his sister can speak french but they can't speak japanese
आप चैनल १ पर अंग्रेज़ी सुन सकते हैं और चैनल ७ पर जापानी।,you can hear english on channel  and japanese on channel 
अमरिकियों को फ़ुटबॉल पसंद है वैसे ही जैसे जापानीयों को बेसबॉल।,americans like football in the same way that japanese like baseball
