English,Malayalam,length_eng_sentence,length_mal_sentence
this dictionary isn't mine,ഈ നിഘണ്ടു എന്റേതല്ല,4,3
is that a red pen,അതൊരു ചുവന്ന പേനയാണോ,5,3
i'm against the war,ഞാൻ യുദ്ധത്തിനെതിരെയാണ്,4,2
a policeman asked the girls if the car was theirs,കാര് അവരുടേതാണോ എന്ന് ഒരു പോലീസുകാരന് പെണ്കുട്ടികളോട് ചോദിച്ചു,10,7
i'm not an american,ഞാൻ ഒരു അമേരിക്കക്കാരനല്ല,4,3
where is your brother,നിന്റെ സഹോദരനെവിടെയാണ്,4,2
her father died,അവളുടെ അച്ഛൻ മരിച്ചു,3,3
she scolded him,അവൾ അവനെ ശാസിച്ചു,3,3
what's your favorite domestic beer,എന്താണ് നിങ്ങളുടെ ഇഷ്ടപ്പെട്ട നാടന് ബിയര്,5,5
everything flows nothing stands still,എല്ലാം ഒഴുകുന്നു ഒന്നും നിശ്ചലമായി നില്ക്കുന്നില്ല,5,5
next thursday is a holiday,അടുത്ത വ്യാഴാഴ്ച ഒരു അവധിദിവസമാണ്,5,4
the doctor will be here in a minute,ഒരു മിനുട്ടിനകം ഡോക്ടർ ഇവിടെ എത്തും,8,5
this dog is mine,ഇതെന്റെ നായയാണ്,4,2
tom doesn't eat meat or eggs,ടോം മാംസവും മുട്ടയും കഴിക്കാറില്ല,6,4
tom asked mary if she wanted something to drink,എന്തെങ്കിലും കുടിക്കാൻ വേണമോ എന്ന് ടോം മേരിയോട് ചോദിച്ചു,9,7
tom went straight to bed,ടോം നേരെ ഉറങ്ങാൻ പോയി,5,4
tom didn't need any help,ടോമിന് ഒരു സഹായവും ആവശ്യമില്ലായിരുന്നു,5,4
well done you have drawn this picture nicely,കൊള്ളാം നിങ്ങൾ ഈ ചിത്രം നന്നായി വരച്ചിട്ടുണ്ട്,8,6
it's the voice of an old woman,അതൊരു വയസ്സായ സ്ത്രീയുടെ ശബ്ദമാണ്,7,4
my monthly salary is  yen,മൂന്ന് ലക്ഷം യെൻ ആണ് എന്റെ പ്രതിമാസ ശമ്പളം,6,7
get out of my house,എന്റെ വീട്ടിൽ നിന്ന് ഇറങ്ങിപ്പോകൂ,5,4
we can forgive but forgetting it's impossible,നമുക്ക് ക്ഷമിക്കാനാകും പക്ഷേ മറക്കാൻ അസാധ്യമാണ്,7,5
i'm already done,ഞാന് ചെയ്തു കഴിഞ്ഞിരിക്കുന്നു,3,3
don't misunderstand my words,എന്റെ വാക്കുകൾ തെറ്റിദ്ധരിക്കരുത്,4,3
the number of students is dropping,കുട്ടികളുടെ എണ്ണം കുറഞ്ഞുവരികയാണ്,6,3
of course it's her,നിങ്ങൾ ബാങ്ക് കൊള്ളയടിക്കുമ്പോൾ നിങ്ങൾ ജയിലിൽ അടയ്ക്കപ്പെടുന്നു ഒരു ബാങ്ക് നിങ്ങളെ കൊള്ളയടിക്കുമ്പോൾ അവർ ലാഭവിഹിതങ്ങൾ വിതരണം ചെയ്യുന്നു,4,14
of course it's her,തീര്ച്ചയായും അത് അവൾ തന്നെ ആണ്,4,5
i hate tom,ഞാന് ടോമിനെ വെറുക്കുന്നു,3,3
measure twice cut once,രണ്ടു തവണ അളക്കൂ ഒരു തവണ മുറിക്കൂ,4,6
do you know anything about tom's family,ടോമിന്റെ കുടുംബത്തെപ്പറ്റി നിനക്കെന്തെങ്കിലും അറിയാമോ,7,4
accidents happen,അപകടങ്ങൾ സംഭവിക്കുന്നു,2,2
it's the biggest house in the neighborhood,ഈ അയൽപ്പക്കത്തെ ഏറ്റവും വലിയ വീടാണത്,7,5
count to one hundred,നൂറ് വരെ എണ്ണൂ,4,3
my clothes are there,എന്റെ വസ്ത്രങ്ങൾ അവിടെയാണ്,4,3
nobody tells me anything,ആരും എന്നോടൊന്നും പറയാറില്ല,4,3
it's a hindi movie,അതൊരു ഹിന്ദി ചലച്ചിത്രമാണ്,4,3
let us try to swim against the current,നമുക്ക് ഒഴുക്കിനെതിരായി നീന്താന് ശ്രമിക്കാം,8,4
is it true that you were in madrid then,അപ്പോൾ നിങ്ങൾ മാഡ്രിഡിൽ ആയിരുന്നു എന്നത് ശരിയാണോ,9,6
tell her that i am hungry,എനിക്ക് വിശക്കുന്നു എന്ന് അവളോട്‌ പറയു,6,5
he asked me to dance,അവൻ എന്നോട് നൃത്തം ചെയ്യാൻ ആവശ്യപ്പെട്ടു,5,5
when you rob a bank you go to jail when a bank robs you they hand out bonuses,നിങ്ങൾ ബാങ്ക് കൊള്ളയടിക്കുമ്പോൾ നിങ്ങൾ ജയിലിൽ അടയ്ക്കപ്പെടുന്നു ഒരു ബാങ്ക് നിങ്ങളെ കൊള്ളയടിക്കുമ്പോൾ അവർ ലാഭവിഹിതങ്ങൾ വിതരണം ചെയ്യുന്നു,18,14
i agreed to write that letter,ഞാന് ആ കത്ത് എഴുതാം എന്ന് സമ്മതിച്ചു,6,6
what does tom mean,ടോം അര്ത്ഥമാക്കിയത് എന്താണ്,4,3
he's greedy and ruthless,അവന് അത്യാഗ്രഹിയും ദയാരഹിതനും ആണ്,4,4
you're smarter than tom is,നിങ്ങൾ ടോമിനെക്കാൾ സമർത്ഥനാണ്,5,3
i can't read this,എനിക്ക് ഇത് വായിക്കാൻ കഴിയുന്നില്ല,4,4
i want to be back in boston,എനിക്ക് ബോസ്ടനിലേക്ക് തിരിച്ചു വരണം,7,4
it would be cool if i could speak three languages,എനിക്ക് മൂന്നു ഭാഷകള് സംസാരിക്കാന് കഴിഞ്ഞിരുന്നെങ്ങില് നന്നായിരുന്നു,10,6
trust no one,ആരെയും വിശ്വസിക്കരുത്,3,2
tom giggled,ടോം ചിരിച്ചു,2,2
who are you trying to convince,ആരെ ആണ് നിങ്ങള് വിശ്വസിപ്പിക്കാന് ശ്രമിക്കുന്നത് ,6,6
i think we should talk,നമ്മള് തമ്മില് സംസാരിക്കണം എന്ന് ഞാന് വിചാരിക്കുന്നു,5,6
i love a woman,എനിക്ക് സ്ത്രീകളെ ഇഷ്ടമാണ് ,4,4
i don't know what i want right now,ഇപ്പോള് എനിക്ക് എന്ത് വേണമെന്ന് എനിക്കറിയില്ല,8,5
i didn't want to leave before the work was completed,ജോലി കഴിയുന്നതിനു മുന്പേ എനിക്ക് പോകണമെന്നില്ല,10,5
i should have come if it hadn't rained,മഴ പെയ്തില്ലായിരുന്നെങ്കില് ഞാന് വന്നേനെ,8,4
i came at about six,ഞാന് ആറു മണിയോട് അടുപ്പിച്ചു വന്നു,5,5
questions never hurt anyone,ചോദ്യങ്ങള് ഇതുവരെ ആരെയും വേദനിപ്പിച്ചിട്ടില്ല,4,4
this is finland's biggest power station of all,ഇതാണ് ഫിന്ലാണ്ടിലെ ഏറ്റവും വലിയ വൈദ്യുതിനിലയം,8,5
he arrived by sea but left by air,അവന് കടല്മാര്ഗം വന്നു പക്ഷെ വായുമാര്ഗം തിരിച്ചുപോയി,8,6
it's yours,ഇത് നിങ്ങളുടെതാണ്,2,2
let's pray,നമുക്ക് പ്രാര്ത്ഥിക്കാം,2,2
listen closely,ശ്രദ്ധാപൂര്വ്വം കേള്ക്കു,2,2
quit complaining,കുറ്റം പറയുന്നത് നിര്ത്തു,2,3
slow down,പതുക്കെ ചെയ്യൂ,2,2
that's acceptable,അത് അംഗീകരിക്കാവുന്നതാണ് ,2,3
that's alright,അത് ശരിതന്നെ,2,2
that's doubtful,അത് സംശയകരമാണ് ,2,3
that's evident,അത് സ്പഷ്ടമാണ് ,2,3
that's foolish,അത് മണ്ടത്തരമാണ് ,2,3
that's fun,അത് വിനോദമാണ്‌ ,2,3
that's logical,അത് യുക്തിസഹമാണ്,2,2
that's lovely,അത് മനോഹരമാണ് ,2,3
that's ludicrous,അത് പരിഹാസ്യമാണ് ,2,3
that's sufficient,അത് പര്യാപ്തമാണ് ,2,3
that's him,അത് അവനാണ് ,2,3
that's her,അത് അവളാണ് ,2,3
that's tom's,അത് ടോമിന്റെതാണ് ,2,3
that's his,അത് അവന്റേതാണ് ,2,3
that's hers,അത് അവളുടെതാണ് ,2,3
that's untrue,അത് അസത്യമാണ് ,2,3
that's wise,അത് വിവേകപരം ആണ് ,2,4
tom screamed,ടോം നിലവിളിച്ചു,2,2
tom understood,ടോം മനസിലാക്കി,2,2
you've failed,നിങ്ങള് പരാജയപ്പെട്ടു,2,2
you've misunderstood,നിങ്ങള് തെറ്റിദ്ധരിച്ചു,2,2
kamdev has used your smile as an arrow as all the five arrows were found insufficient,അഞ്ചുശരങ്ങളും പോരാതെ മന്മഥന് നിന് ചിരി സായകമാക്കി,16,6
she seems to be a good cook,അവള് നല്ല ഒരു പാചകക്കാരി ആണെന്ന് തോന്നുന്നു,7,6
he's ruthless,അവന് ദയയില്ലാത്തവന് ആണ്,2,3
she's ruthless,അവള് ദയയില്ലാത്തവള് ആണ്,2,3
in the wild fire of thought there is an element of the destruction of the self,ചിന്തയുടെ കാട്ടുതീയില് ആത്മനാശത്തിന്റെ ഒരു അംശം ഉണ്ട് ,16,7
mary is quite attractive,മേരി അതീവ സുന്ദരി ആണ് ,4,5
this may be correct,ഇത് ശരിയായിരിക്കാം,4,2
the terrorists attacked a mosque,തീവ്രവാദികള് ഒരു പള്ളി ആക്രമിച്ചു,5,4
sugar is soluble in water,പഞ്ചസാര വെള്ളത്തില് ലയിക്കും,5,3
it made me very happy,അത് എന്നെ വളരെ സന്തോഷവാനാക്കി,5,4
tom is more experienced in business than me,ടോം വ്യാപാരത്തില് എന്നേക്കാള് അനുഭവജ്ഞന് ആണ്,8,5
he lay down on his back,അവന് മലര്ന്നു കിടന്നു,6,3
i bit my tongue,ഞാന് എന്റെ നാവ് കടിച്ചു,4,4
isn't that mine,അത് എന്റേതല്ലേ,3,2
i think you can help us,നിങ്ങള്ക്ക് ഞങ്ങളെ സഹായിക്കാന് കഴിയും എന്ന് ഞാന് വിചാരിക്കുന്നു,6,7
i believe you know the rules,നിങ്ങള്ക്ക് നിയമങ്ങള് അറിയാം എന്ന് ഞാന് വിശ്വസിക്കുന്നു,6,6
i think you know the rules,നിങ്ങള്ക്ക് നിയമങ്ങള് അറിയാം എന്ന് ഞാന് വിചാരിക്കുന്നു,6,6
i believe you know tom,നിങ്ങള്ക്ക് ടോമിനെ അറിയാം എന്ന് ഞാന് വിശ്വസിക്കുന്നു,5,6
i think you know tom,നിങ്ങള്ക്ക് ടോമിനെ അറിയാം എന്ന് ഞാന് വിചാരിക്കുന്നു,5,6
i believe you've been looking for me,നിങ്ങള് എന്നെ അന്വേഷിക്കുകയായിരുന്നു എന്ന് ഞാന് വിശ്വസിക്കുന്നു,7,6
i plowed the field,ഞാന് നിലം ഉഴുതു,4,3
this is a triangle,ഇത് ഒരു ത്രികോണം ആണ്,4,4
he talks a lot,അവന് ധാരാളം സംസാരിക്കാറുണ്ട്,4,3
a man who speaks the truth needs a fast horse,സത്യം പറയുന്ന ഒരു മനുഷ്യന് വേഗതയുള്ള ഒരു കുതിര ആവശ്യമാണ്,10,8
this is ours,ഇത് ഞങ്ങളുടെതാണ്,3,2
this is our bag,ഇത് ഞങ്ങളുടെ ബാഗ്‌ ആണ്,4,4
who betrayed us,ആരാണ് നമ്മളെ ചതിച്ചത്,3,3
i can get you everything you need,നിങ്ങള്ക്ക് ആവശ്യമായതെല്ലാം നല്കാന് എനിക്ക് കഴിയും,7,5
i can get you fired,എനിക്ക് നിങ്ങളെ ജോലിയില് നിന്നും പുറതാക്കിപ്പിക്കാന് കഴിയും,5,6
i can get you more,എനിക്ക് ഇനിയും നിങ്ങള്ക്ക് തരാന് കഴിയും,5,5
i can get you one if you like,നിങ്ങള്ക്ക് ഇഷ്ടമാണെങ്കില് ഇതുപോലൊരെണ്ണം തരാന് കഴിയും,8,5
i can get you out of prison,എനിക്ക് നിങ്ങളെ ജയിലില് നിന്നും പുറത്തിറക്കാന് കഴിയും,7,6
i can give it a shot,എനിക്ക് ഇത് പ്രയോഗിച്ചു നോക്കാന് കഴിയും,6,5
i can give it a try,എനിക്ക് ഇത് പ്രയോഗിച്ചു നോക്കാന് കഴിയും,6,5
i can give it to you right now,എനിക്ക് ഇത് ഇപ്പോള് തന്നെ നിങ്ങള്ക്ക് നല്കാന് കഴിയും,8,7
i can give tom a message,എനിക്ക് ടോമിന് ഒരു മെസ്സേജ് കൊടുക്കാന് കഴിയും,6,6
i can give you a lift into town,എനിക്ക് നിങ്ങള്ക്ക് ടൌണിലേക്ക് ഒരു ലിഫ്റ്റ്‌ തരാന് കഴിയും,8,7
i can give you a lift,എനിക്ക് നിങ്ങള്ക്ക് ലിഫ്റ്റ്‌ തരാന് കഴിയും,6,5
i can give you some medicine for the pain,എനിക്ക് നിങ്ങള്ക്ക് കുറച്ചു വേദനയ്ക്കുള്ള മരുന്ന് തരാന് കഴിയും,9,7
i can give you some money if you need it,എനിക്ക് നിങ്ങള്ക്ക് ആവശ്യമെങ്കില് കുറച്ചു പൈസ തരാന് കഴിയും,10,7
i can give you some useful information,എനിക്ക് നിങ്ങള്ക്ക് കുറച്ചു ആവശ്യകരമായ ഇന്ഫര്മേഷന് തരാം കഴിയും,7,7
i can give you something for your pain,നിങ്ങളുടെ വേദനക്ക് എനിക്ക് എന്തെങ്ങിലും തരാന് കഴിയും,8,6
the cat caught the mouse,പൂച്ച എലിയെ പിടിച്ചു,5,3
who will be the next pope,അടുത്ത പോപ്പ് ആരായിരിക്കും,6,3
i want a coffee,എനിക്ക് ഒരു കോഫി വേണം,4,4
aluminium is a metal,അലൂമിനിയം ഒരു ലോഹം ആണ്,4,4
i want to live here,എനിക്ക് ഇവിടെ ജീവിക്കാന് ആഗ്രഹമുണ്ട്,5,4
this water is odourless,ഈ വെള്ളം മണമില്ലാത്തത് ആണ്,4,4
i'm a gynaecologist,ഞാന് ഒരു സ്ത്രീരോഗ വിദഗ്ധന് ആണ്,3,5
tom thought mary wasn't a very good cook,മേരി നല്ലൊരു പാചകക്കാരി അല്ലെന്നു ടോം കരുതി,8,6
i don't know what you're looking for,നിങ്ങൾ എന്താണ് അന്വേഷിക്കുന്നത് എന്ന് എനിക്ക് അറിയില്ല,7,6
i think you should go home,നിങ്ങൾ വീട്ടിലേക്കു പോകണം എന്ന് ഞാൻ കരുതുന്നു,6,6
we have very little time,നമുക്കു വളരെക്കുറച്ചു സമയം മാത്രമേയുള്ളൂ,5,4
tom turned the page,ടോം പേജ് മറിച്ചു,4,3
he did it anyway,അവൻ എന്തായാലും ചെയ്തു,4,3
tom and i were very busy last week,ടോമും ഞാനും കഴിഞ്ഞയാഴ്ച വളരെ തിരക്കിലായിരുന്നു,8,5
i am taking my final exam,ഞാൻ എൻറെ അവസാന പരീക്ഷ എഴുതുക ആണ്,6,6
of course i love her,തീർച്ചയായും ഞാൻ അവളെ സ്നേഹിക്കുന്നു,5,4
ignorance has no limits,മണ്ടത്തരത്തിന് പരിധികളില്ല,4,2
where is my diary,എൻറെ ഡയറി എവിടെയാണ്,4,3
where is my newspaper,എൻറെ വർത്തമാനപത്രം എവിടെയാണ്,4,3
my name is jack,എൻറെ പേര് ജാക്ക് എന്നാണ്,4,4
i am an engineer,ഞാൻ ഒരു എഞ്ചിനീയർ ആണ്,4,4
he is not a student,അവൻ ഒരു വിദ്യാർത്ഥി അല്ല,5,4
she is not a student,അവൾ ഒരു വിദ്യാർത്ഥിനി അല്ല,5,4
man is at one and the same time a solitary being and a social being,മനുഷ്യന് ഒരേസമയം ഏകാന്ത ജീവിയും സാമൂഹ്യജീവിയുമാണ്,15,5
as a social being he seeks to gain the recognition and affection of his fellow human beings to share in their pleasures to comfort them in their sorrows and to improve their conditions of life,സാമൂഹ്യജീവിയെന്ന നിലയില് സഹജീവികളുടെ സ്നേഹത്തിനും അംഗീകാരത്തിനും വേണ്ടി ശ്രമിക്കുകയും അവരുടെ നൊമ്പരങ്ങളും സന്തോഷങ്ങളും പങ്കുവെയ്ക്കുകയും ചെയ്യുന്നു,35,12
the economic anarchy of capitalist society as it exists today is in my opinion the real source of the evil,നിലവിലുള്ള മുതലാളിത്ത സമൂഹത്തിന്റെ സാമ്പത്തിക സാമൂഹ്യ അരാജകത്വമാണ് പ്രധാന പ്രതിയെന്ന് ഞാന് കരുതുന്നു,20,10
i have not seen you for a long time,വളരെ നാളായല്ലൊ കണ്ടിട്ട്,9,3
long time no see,വളരെ നാളായല്ലൊ കണ്ടിട്ട്,4,3
do you speak malayalam,നിങ്ങള് മലയാളം സംസാരിക്കുമോ,4,3
he is not your father,അവന് നിന്റെ അച്ഛന് അല്ല,5,4
he is not your dad,അവന് നിന്റെ അച്ഛന് അല്ല,5,4
have they seen us,അവർ നമ്മളെ കണ്ടിട്ടുണ്ടാവുമോ,4,3
why are you doing this,നിങ്ങൾ എന്തിന് ഇതു ചെയ്യുന്നു,5,4
i saw tom last monday walking in the park with mary,ഞാൻ ടോം'ഇനെ കഴിഞ്ഞ തിങ്കളാഴ്ച പാർകിൽ വെച്ച് മെരിയുടെ കു‌ടെ നടകുന്നത് കണ്ടു,11,10
they are appealing for money to help refugees,അഭയാര്ത്ഥികളെ സഹായിക്കുവാനുള്ള പണത്തിനായി അവര് അപേക്ഷിക്കുകയാണ്,8,5
both of them are kind and honest,രണ്ടുപേരും ദയാലുക്കളും ആത്മാര്ത്ഥതയുള്ളവരുമാണ്,7,3
they would never meet again,അവര് ഒരിക്കലും കണ്ടുമുട്ടുമായിരുന്നില്ല,5,3
they settled in japan,അവര് ജപ്പാനില് സ്ഥിരതാമസമാക്കി,4,3
park the car in the shade,കാറ് തണലില് നിര്ത്തൂ,6,3
that gold ring belonged to my mother,ആ സ്വര്ണമോതിരം എന്റെ അമ്മയുടേതാണ്,7,4
they hated each other,അവര് പരസ്പരം വെറുത്തു,4,3
my name is emily,എന്റെ പേര് എമിലി,4,3
there are islands in the sea,കടലിൽ ദ്വീപുകൽ ഉണ്ട്,6,3
burj khalifa is currently the tallest building in the world,ഇന്ന് ലോകത്തിലെ ഏറ്റവു ഉയരം കൂടിയ കെട്ടിടം ബുർജ് ഖലീഫ ആണ്,10,9
i always find myself comforting people with the words i want to hear,ഞാൻ കേൾക്കാൻ ആഗ്രഹിക്കുന്ന വാക്കുകൾ കൊണ്ട് ഞാൻ എപ്പോഴും ജനങ്ങളെ ആശ്വസിപ്പിക്കാൻ ശ്രമിക്കുന്നു,13,10
burj khalifa is currently the tallest skyscraper in the world,ബുർജ് ഖലീഫ നിലവിൽ ലോകത്തിലെ ഏറ്റവും ഉയരുമുള്ള കെട്ടിടം ആണ്,10,8
burj khalifa is currently the tallest skyscraper in the world,ഇന്ന് ലോകത്തിലെ ഏറ്റവു ഉയരം കൂടിയ കെട്ടിടം ബുർജ് ഖലീഫ ആണ്,10,9
what time is it,സമയം എന്തായി,4,2
who are you,നിങ്ങൾ ആരാണ്,3,2
hello,നമസ്കാരം,1,1
what is the time,സമയം എത്രയായി,4,2
they're useless now,അവരെക്കൊണ്ട് ഇപ്പോൾ ഉപയോഗമില്ല,3,3
i just got back,ഞാൻ ഇപ്പോൾ തിരിച്ച് എത്തിയതേയുള്ളൂ,4,4
my name is emily,എന്റെ പേര് എമിലി എന്നാണ്,4,4
i believe you,ഞാൻ നിന്നെ വിശ്വസിക്കുന്നു,3,3
do you remember,നിനക്ക് ഓർമ്മയുണ്ടോ,3,2
i am american,ഞാൻ ഒരു അമേരിക്കൻ ആണ്,3,4
give me half,പകുതി എനിക്ക് തരൂ,3,3
good morning,സുപ്രഭാതം,2,1
she arrived,അവൾ വന്നു,2,2
i cannot hear anything,എനിക്ക് ഒന്നും കേള്കുന്നില്ല,4,3
where are you going,എവിടെ പോകുന്നു,4,2
they are planning a trip to london,അവന് ലെണ്ടനിലേക്ക്‌ ഒരു യാത്ര ആസൂത്രണം ചെയ്തു,7,6
i live in this world,ഞാന് ഈ ലോകത്തില് ജീവിക്കുന്നു,5,4
the door is locked,വാതില് പൂട്ടിയിരിക്കുന്നു,4,2
i have a green shirt,എനിക്ക് ഒരു പച്ച കുപ്പായം ഉണ്ട്,5,5
i am afraid of heights,എനിക്ക് ഉയരം ഭയമാണ്,5,3
the sea is blue,കടല് നീലയാണ്,4,2
be careful of pickpockets here,ഇവിടെ പോക്കറ്റടിക്കാരെ സൂക്ഷിക്കുക,5,3
my friend told me he bought a clock,എന്റെ സുഹൃത്ത്‌ ഒരു ഘടികാരം വാങ്ങിച്ചു എന്ന് അവന് പറഞ്ഞു,8,8
where were you,നീ എവിടെയായിരുന്നു,3,2
only if you loved me the way i loved you,ഞാന് സ്നേഹിക്കുന്ന പോലെ നീയും എന്നെ സ്നേഹിച്ചിരുന്നെങ്കില്,10,6
where are you from,നീ എവിടുന്നാണ്,4,2
it's no use arguing about it,അതിനെപ്പറ്റി തര്ക്കിച്ചിട്ട് ഒരു കാര്യവുമില്ല,6,4
who'll be elected chairman,ചെയർമാനായി ആരെയാണ് തെരഞ്ഞെടുക്കാൻ പോകുന്നത്,4,4
who's your favorite player,നിന്റെ പ്രിയപ്പെട്ട കളിക്കാരനാരാണ്,4,3
we'll discuss that later,നമുക്ക് അത് പിന്നെ ചര്ച്ച ചെയ്യാം,4,5
we can't play baseball here,നമുക്കിവിടെ ബേസ് ബോള് കളിയ്ക്കാന് സാധിക്കില്ല,5,5
it'll surely rain today,ഇന്ന് തീര്ച്ചയായും മഴ പെയ്യും,4,4
i have to meet tom,എനിക്ക് ടോമിനെ കാണേണ്ടതുണ്ട്,5,3
i didn't know that apple trees grew from seeds,അപ്പിള് മരങ്ങള് വിത്തുകളില് നിന്നാണ് വളരുന്നത്‌ എന്ന് എനിക്കറിയില്ലായിരുന്നു,9,7
are the necessary basic facilities available ,അവിശ്യമായ അടിസ്ഥാന സൌകര്യങ്ങള് ലഭ്യമാണോ,7,4
it has been a year since you started deceiving me,പറഞ്ഞു പറ്റിക്കാന് തുടങ്ങിയട്ടു ഇന്നു വര്ഷം ഒന്നു,10,6
i tried to make him happy but i found it very difficult to do so,ഞാന് അവനെ സന്തോഷിപ്പിക്കാന് ശ്രമിച്ചു അത് ഞാന് വളരെ വിഷമകരം ആണെന്ന് കണ്ടെത്തി,15,10
to tell you the truth i am scared of heights you are a coward,സത്യം പറഞ്ഞാല് എനിക്ക് ഉയരം പേടിയാണ് നീ ഒരു പേടിത്തൊണ്ടനാണ്,14,8
haven't you had your dinner,ഊണ് കഴിച്ചില്ലായിരുന്നോ ,5,3
we want complete sentences,പൂര്ണ വാക്യങ്ങളാണ് നമുക്ക് ആവശ്യം,4,4
don't change sentences that are correct you can instead submit natural-sounding alternative translations,തെറ്റില്ലാത്ത വാക്യങ്ങളില് മാറ്റം വരുത്തരുത് ആവശ്യമെങ്കില് കേട്ടാല് സ്വാഭാവികതയുള്ള മറ്റൊരു വിവര്ത്തനം ചേര്ക്കാം,13,10
congratulations,അഭിനന്ദനങ്ങള്,1,1
wrong,തെറ്റ്,1,1
louder,ഉറക്കെ,1,1
definitely,തീര്ച്ചയായും,1,1
definitely,ഉറപ്പായും,1,1
almost,ഏറെക്കുറെ,1,1
almost,ഏകദേശം,1,1
what,എന്ത്,1,1
why,എന്തിനു,1,1
why,എന്തിനുവേണ്ടി ,1,2
welcome,സ്വാഗതം,1,1
unbelievable,അവിശ്വസനീയം,1,1
naturally,സ്വഭാവികമായും,1,1
nonsense,അസംബന്ധം,1,1
really,ശരിക്കും,1,1
it broke into two pieces,അത് പൊട്ടി രണ്ടു കഷണമായിപ്പോയി,5,4
silk is expensive,പട്ട് വിലപിടിപ്പുള്ളതാണ്,3,2
i'm not able to fix the car by myself,ആ കാര് നന്നാക്കാന് എന്നെക്കൊണ്ട് ഒറ്റയ്ക്ക് പറ്റില്ല,9,6
where did you and tom first meet each other,നീയും ടോമും ആദ്യമായി കണ്ടത് ഇവിടെവച്ചാണ്,9,5
things went back to normal,കാര്യങ്ങള് പഴയപടിയായി,5,2
alcohol was a contributing factor,മദ്യം ഒരു പ്രധാന ഘടകമാണ്,5,4
tom told me his life story,ടോം അവന്റെ ജീവിതകഥ എന്നോട് പറഞ്ഞു,6,5
it wasn't a conscious decision,അത് മനപ്പൂര്വമായോരു തീരുമാനമായിരുന്നില്ല,5,3
tell me the matter friend,നിങ്ങൾ കാര്യം പറ സുഹൃത്തേ,5,4
she is pretty,അവൾ സുന്ദരിയാണ്‌,3,2
that lock definitely must be broken,ആ പൂട്ട്‌ തീര്ച്ചയായും പോളിക്കപ്പെടണം,6,4
i thought you missed your flight,ഞാന് കരുതി നിനക്ക് ഫ്ലൈറ്റ് കിട്ടിയില്ലെന്ന്,6,5
i don't have time to play games,എനിക്ക് കളിക്കാന് സമയമില്ല,7,3
since when do you care about flowers,നീ എന്നുതൊട്ടാണ് പൂക്കളെ ശ്രദ്ധിച്ച് തുടങ്ങിയത്,7,5
sami had zero dollars to spend on anything,സമിയുടെ കൈയില് ചിലവാക്കാന് ഒറ്റ കാശില്ല,8,5
it's obvious tom knows what he's talking about,ടോം തനിക്ക് അറിയാവുന്ന കാര്യമാണ് പറയുന്നത് എന്ന് വ്യക്തമാണ്,8,7
she is no less beautiful than her sister,സൗന്ദര്യത്തില് അവള് തന്റെ അനിയത്തിയേക്കാള് ഒട്ടും പുറകിലല്ല,8,6
don't resist us,ഞങ്ങളെ തടുക്കരുത്,3,2
i have a feeling tom will be late,ടോം വരാന് താമസിക്കുമെന്ന് തോന്നുന്നു,8,4
i'm not afraid of the future,ഭാവിയെക്കുറിച് എനിക്ക് പേടിയില്ല,6,3
there are several reasons,അതിന് പല കാരണങ്ങള് ഉണ്ട്,4,4
this movie is one of my all-time favorites,എന്റെ എക്കാലത്തെയും പ്രിയപ്പെട്ട സിനിമകളില് ഒന്നാണ് ഇത്,8,6
we read about that in class,അതിനെക്കുറിച്ച് ഞങ്ങള് ക്ലാസ്സില് വച്ച് വായിച്ചു,6,5
i'm not like you,ഞാന് നിന്നെപ്പോലെയല്ല,4,2
she fell in love with a young soldier,അവള് ഒരു യുവസൈനികനുമായി സ്നേഹത്തിലായി,8,4
why are people scared of them,എന്താ എല്ലാവര്ക്കും അവരെ പേടി,6,4
i hope tom isn't reluctant to do that,ടോമിന് അതുചെയ്യാന് മടിയില്ല എന്നാണ് എന്റെ പ്രതീക്ഷ,8,6
sami was spilling it all to the cops,സമി പോലീസിന് എല്ലാം ചോര്ത്തി കൊടുക്കുകയായിരുന്നു,8,5
do you do the same with your children,നിങ്ങള് നിങ്ങളുടെ കുട്ടികളോടും ഇതുതന്നെയാണോ ചെയ്യാറുള്ളത്,8,5
i don't think that you need to tell tom why you went australia,നീ എന്തിനാണ് ഓസ്ട്രേലിയയില് പോയതെന്ന് ടോമിനോട് പറയണ്ട കാര്യമുണ്ടെന്നു എനിക്ക് തോന്നുന്നില്ല,13,9
i wonder what has made him change his mind,അവന്റെ മനസ്സ് മാറ്റിയത് എന്താണെന്നാണ് എനിക്ക് മനസിലാകാത്തത്,9,6
i never said it would be simple,അത് എളുപ്പമായിരിക്കുമെന്ന് ഞാന് പറഞ്ഞില്ലല്ലോ,7,4
she acknowledged her mistake,അവള് തന്റെ തെറ്റ് സമ്മതിച്ചു,4,4
i don't think it's too bad,അത് തീരെ മോശമാണെന്ന് എനിക്ക് തോന്നുന്നില്ല,6,5
i'm not following you at all can you break it down for me,നിങ്ങള് പറയുന്നത് എനിക്ക് മനസ്സിലാകുന്നില്ല ഒന്ന് വിശദമായി പറയാമോ,13,7
what else do you have,വേറെ എന്തൊക്കെയുണ്ട് നിന്റെ കൈയില്,5,4
the most important sex organ is the brain,ഏറ്റവും പ്രധാനപ്പെട്ട ലൈംഗിക അവയവം തലച്ചോറാണ്,8,5
how much do a dozen eggs cost,ഒരു ഡസന് മുട്ടക്ക് എന്താ വില,7,5
